0x96359917,0x96359918->TRUE
0xad33cbca,0xad33cbcb->TRUE
0x00000000,0x80004133->FALSE
0x12254837,0x12254837->TRUE
0xefffffff,0xefffffff->TRUE
0x38b16415,0x38b16415->TRUE
0x1404dbc6,0x1404dbc6->TRUE
0xb1c2920a,0xb1c2920c->TRUE
0x87fd48a3,0x87fd48a3->TRUE
0xe338d4a9,0xe338d4a9->TRUE
0x201e3341,0x201e3341->TRUE
0x56bf8ff4,0x56bf8ff5->TRUE
0x197fbe27,0x197fbe27->TRUE
0x4c21f0a3,0x4c21f0a3->TRUE
0x29dcb355,0x29dcb356->TRUE
0xaa00082b,0xaa00082c->TRUE
0x514db35b,0x514db35c->TRUE
0x1335c8f0,0x1335c8f1->TRUE
0xefffffff,0xefffffff->TRUE
0x490fb760,0x490fb761->TRUE
0x00000000,0x80000003->FALSE
0xca841c5d,0xca841c5d->TRUE
0x00000000,0x8013686e->FALSE
0xefffffff,0xefffffff->TRUE
0x7b6d1e5b,0x7b6d1e5c->TRUE
0x38483b7b,0x38483b7c->TRUE
0xb943dd5e,0xb943dd5f->TRUE
0x594356c2,0x594356c3->TRUE
0x55ac1e74,0x55ac1e75->TRUE
0x57cfa0b0,0x57cfa0b2->TRUE
0xcf6e6b9a,0xcf6e6b9a->TRUE
0xa8bd4318,0xa8bd4317->TRUE
0xbc13145e,0xbc13145f->TRUE
0xc1398487,0xc1398487->TRUE
0x481febd0,0x481febd1->TRUE
0x60ece476,0x60ece477->TRUE
0x5c795149,0x5c79514a->TRUE
0xe9794050,0xe979404f->FALSE
0xcac5b48d,0xcac5b48d->TRUE
0xd506d573,0xd506d574->TRUE
0xa4917faa,0xa4917fab->TRUE
0x42cf818a,0x42cf818a->TRUE
0xb8709f0e,0xb8709f0f->TRUE
0xed972067,0xed972068->TRUE
0xefffffff,0xefffffff->TRUE
0xefffffff,0xefffffff->TRUE
0x6766a69f,0x6766a6a0->FALSE
0xc40fd0f9,0xc40fd0f9->TRUE
0x1699800f,0x1699800f->TRUE
0x2103a03c,0x2103a03d->TRUE
0x4b85f87b,0x4b85f87c->TRUE
0x16bffa12,0x16bffa12->TRUE
0xd129347f,0xd129347f->TRUE
0x4af8aa63,0x4af8aa63->TRUE
0x956b112f,0x956b112f->TRUE
0x22f16b26,0x22f16b27->TRUE
0x2ffd8607,0x2ffd8608->TRUE
0x868d49b6,0x868d49b6->TRUE
0xefffffff,0xefffffff->TRUE
0xdda6f55a,0xdda6f55a->TRUE
0xefffffff,0xefffffff->TRUE
0xefffffff,0xefffffff->TRUE
0xefffffff,0xefffffff->TRUE
0xefffffff,0xefffffff->TRUE
0x845035e9,0x845035ea->TRUE
0xefffffff,0xefffffff->TRUE
0x00000000,0x00000000->TRUE
0x0ca7401b,0x0ca7401c->TRUE
0x58446c1f,0x58446c20->FALSE
0x00000000,0x00000000->TRUE
0xba26a949,0xba26a949->TRUE
0x417b49d4,0x417b49d4->TRUE
0x8e75a7ca,0x8e75a7cb->TRUE
0xe4caddca,0xe4caddca->TRUE
0xfc0c0757,0xfc0c0758->TRUE
0x2f10407c,0x2f10407c->TRUE
0x5c863f92,0x5c863f92->TRUE
0x980dcc51,0x980dcc51->TRUE
0xefffffff,0xefffffff->TRUE
0xabcb727b,0xabcb727c->TRUE
0x91929482,0x91929482->TRUE
0xc11870b5,0xc11870b5->TRUE
0x6b12ad26,0x6b12ad27->TRUE
0xac154af8,0xac154af9->TRUE
0xd06379be,0xd06379bf->TRUE
0x76f647eb,0x76f647eb->TRUE
0xefffffff,0xefffffff->TRUE
0xefffffff,0xefffffff->TRUE
0xefffffff,0xefffffff->TRUE
0x42a8b815,0x42a8b815->TRUE
0x7efa80e4,0x7efa80e5->TRUE
0xefffffff,0xefffffff->TRUE
0xf2954b0a,0xf2954b0a->TRUE
0xe3df6abe,0xe3df6abe->TRUE
0x47b340e5,0x47b340e6->TRUE
0x200541f8,0x200541f9->TRUE
0x00000000,0x8000001f->FALSE
0xe59312a1,0xe59312a1->TRUE
0xafbc5b16,0xafbc5b17->TRUE
0x4f54d990,0x4f54d992->TRUE
0x11d8e41e,0x11d8e41d->TRUE
0x714491e7,0x714491e7->TRUE
0x00000000,0x000e73d3->FALSE
0x3d5045ad,0x3d5045ae->TRUE
0x38afd7b4,0x38afd7b6->TRUE
0x00a0f636,0x00a0f636->TRUE
0xf3c31cda,0xf3c31cda->TRUE
0x30829385,0x30829385->TRUE
0x06a77d7a,0x06a77d7b->TRUE
0x00000000,0x80000001->FALSE
0x00000000,0x80000001->FALSE
0xbdf03084,0xbdf03085->TRUE
0xefffffff,0xefffffff->TRUE
0xfdfd7207,0xfdfd7208->TRUE
0x262af238,0x262af239->TRUE
0x9fa1a747,0x9fa1a748->TRUE
0x23ea9ef9,0x23ea9ef9->TRUE
0x68d0ae43,0x68d0ae43->TRUE
0xe4049ff7,0xe4049ff8->TRUE
0x54f1991b,0x54f1991b->TRUE
0x0699cfdb,0x0699cfdc->TRUE
0x7c9f093b,0x7c9f093b->TRUE
0xac7b6f5d,0xac7b6f5e->TRUE
0x00000000,0x00000000->TRUE
0x2a9c3d5d,0x2a9c3d5d->TRUE
0xa89bb273,0xa89bb274->TRUE
0xbc3e0c71,0xbc3e0c70->TRUE
0xc59f1832,0xc59f1832->TRUE
0x8400be90,0x8400be90->TRUE
0xad8278ea,0xad8278ea->TRUE
0xcf6b442e,0xcf6b442e->TRUE
0xdf05b30f,0xdf05b30f->TRUE
0xc49b523b,0xc49b523d->TRUE
0x00000000,0x80000000->FALSE
0x00000000,0x00000000->TRUE
0xefa54622,0xefa54622->TRUE
0x87d7788d,0x87d7788d->TRUE
0xdff8e059,0xdff8e05a->TRUE
0xbcdc04ec,0xbcdc04ed->TRUE
0xd312fb27,0xd312fb27->TRUE
0xc7115a61,0xc7115a62->TRUE
0xd414d8b9,0xd414d8b9->TRUE
0x9b79054f,0x9b790551->FALSE
0x5a43392a,0x5a43392a->TRUE
0x6c79115d,0x6c79115d->TRUE
0xeb4300a8,0xeb4300a8->TRUE
0xf2aa7520,0xf2aa7521->TRUE
0xf5b6d396,0xf5b6d396->TRUE
0x03f141a1,0x03f141a2->TRUE
0xefffffff,0xefffffff->TRUE
0x9659d5ba,0x9659d5bb->TRUE
0x3e208e90,0x3e208e90->TRUE
0xb7bf605c,0xb7bf605c->TRUE
0xefffffff,0xefffffff->TRUE
0xdb8e00a8,0xdb8e00a9->TRUE
0x9c4720ac,0x9c4720ac->TRUE
0xd959d231,0xd959d231->TRUE
0x6a544252,0x6a544252->TRUE
0xc12d7c0e,0xc12d7c0e->TRUE
0xb983f37e,0xb983f37f->TRUE
0x09021a61,0x09021a62->TRUE
0xefffffff,0xefffffff->TRUE
0x00000000,0x00000000->TRUE
0xebe60615,0xebe60616->TRUE
0xecf5bd8e,0xecf5bd8f->TRUE
0x52aa6b19,0x52aa6b1a->TRUE
0x7885b46d,0x7885b46e->TRUE
0xefffffff,0xefffffff->TRUE
0xff17ed73,0xff17ed73->TRUE
0x90d6dc5f,0x90d6dc5f->TRUE
0xce3f794e,0xce3f794f->TRUE
0x3504c30f,0x3504c310->FALSE
0xae2ca386,0xae2ca386->TRUE
0x20e16ebb,0x20e16ebb->TRUE
0x940882df,0x940882df->TRUE
0x8ef57198,0x8ef57198->TRUE
0xf507f8f6,0xf507f8f7->TRUE
0x55b23d7b,0x55b23d7c->TRUE
0xa2a78498,0xa2a78499->TRUE
0xae2bab76,0xae2bab76->TRUE
0x00000000,0x80000000->FALSE
0xf89385e2,0xf89385e2->TRUE
0x00000000,0x80000000->FALSE
0x141524fc,0x141524fd->TRUE
0xefffffff,0xefffffff->TRUE
0x11db883e,0x11db883f->TRUE
0xaab53821,0xaab53822->TRUE
0xc7b64542,0xc7b64543->TRUE
0xefffffff,0xefffffff->TRUE
0xefffffff,0xefffffff->TRUE
0x35dcacce,0x35dcaccf->TRUE
0xcacb8ce7,0xcacb8ce9->TRUE
0x1d440020,0x1d440021->TRUE
0xcd4ec166,0xcd4ec167->TRUE
0x3cb77f71,0x3cb77f72->TRUE
0xe55b03c9,0xe55b03cb->TRUE
0x5f00c594,0x5f00c594->TRUE
0xefffffff,0xefffffff->TRUE
0xc11e1733,0xc11e1735->TRUE
0x8838008b,0x8838008b->TRUE
0xc9dc28ad,0xc9dc28ae->TRUE
0x5089d54c,0x5089d54c->TRUE
0x90ae97ad,0x90ae97ad->TRUE
0x33e51d4e,0x33e51d4f->TRUE
0x9590557b,0x9590557b->TRUE
0xbfa56afe,0xbfa56afe->TRUE
0x00000000,0x00000000->TRUE
0xd1487df2,0xd1487df3->TRUE
0xc789a24b,0xc789a24b->TRUE
0x6cb95f01,0x6cb95f00->TRUE
0x24619296,0x24619298->TRUE
0xefffffff,0xefffffff->TRUE
0xdcf451ca,0xdcf451ca->TRUE
0xefffffff,0xefffffff->TRUE
0x837687ba,0x837687b9->TRUE
